ARCH;;;;;;;;
;IPC_brut_Insee;IPCSJ_insee;IPC;IPCSJ;COEFPOIDSIPCSJ;COEFPOIDSIPCVOL;TICPE_PAR_BARIL;blabla
Comment;projbe2_ipc = extrapsd(projbe2_ipc.1+0.003-0.00013.0.2017Q1.2017Q4);projbe2_ipcsj = extrapsd(projbe2_ipcsj.1+0.0034.0.2017Q2.2017Q4);projbe2_ipc = extrapsd(projbe2_ipc.1+0.003-0.00013.0.2017Q1.2017Q4);projbe2_ipcsj = extrapsd(projbe2_ipcsj.1+0.0034.0.2017Q2.2017Q4);COEFPOIDSIPCSJ;COEFPOIDSIPCVOL;TICPE_PAR_BARIL;blabla
Org.;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS
Type;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric
2005Q1;87.0566666666667;89.2;87.1786600433983;88.4422765352094;6091;3909;69.7045193835775;0
2005Q2;87.8433333333333;89.4;87.5785621536891;88.7183394381283;6091;3909;69.7076114157454;0
2005Q3;88.14;89.6;88.1117649674102;88.9567663733526;6091;3909;69.7023388287049;0
2005Q4;88.3766666666667;89.8;88.4450167259859;89.1441130229906;6091;3909;69.7073208411218;0
2006Q1;88.61;90.08;88.7807193816141;89.4226958792044;6087;3913;68.8157328562672;0
2006Q2;89.5233333333334;90.3933333333333;89.2272890661912;89.7487476957051;6087;3913;68.8213512107272;0
2006Q3;89.6333333333333;90.62;89.5905435111085;89.9711569019631;6087;3913;68.8191180755751;0
2006Q4;89.5366666666667;90.9733333333333;89.6005413398677;90.3427217340679;6087;3913;68.8242107391964;0
2007Q1;89.64;91.3033333333333;89.8203754079773;90.5995726963148;6125;3875;67.36713276499;0
2007Q2;90.5733333333333;91.6933333333333;90.2535980103977;90.9438884527369;6125;3875;67.3643622692057;0
2007Q3;90.77;91.9866666666667;90.7234779099459;91.3036317496228;6125;3875;67.3659408014756;0
2007Q4;91.6366666666667;92.5233333333333;91.7165574139558;91.8489536296014;6125;3875;67.3608579592013;0
2008Q1;92.2833333333333;93.0666666666667;92.4645755378343;92.4198563198794;6139;3861;66.836269707372;0
2008Q2;93.5666666666667;93.5166666666667;93.2210342053331;92.8311352085047;6139;3861;66.9816698688936;0
2008Q3;93.72;93.8266666666667;93.6809077564998;93.1755499575394;6139;3861;66.9819737521351;0
2008Q4;93.25;94.31;93.3443336357184;93.6281782954105;6139;3861;66.9828214989237;0
2009Q1;92.86;94.6866666666667;93.0194182995123;93.9251772160877;6289;3711;66.9161912749598;0
2009Q2;93.3733333333333;94.9566666666667;93.0227507760752;94.1918585280455;6289;3711;66.921151549608;0
2009Q3;93.3233333333333;95.84;93.3060112839195;94.5222784668752;6289;3711;66.9159233157727;0
2009Q4;93.59;95.94;93.68924608865;94.5484970099982;6289;3711;66.9145638501037;0
2010Q1;94.09;96.2866666666667;94.223230578043;94.7765782149048;6260;3740;67.1275701391342;0
2010Q2;94.88;96.29;94.536485995541;94.879575291715;6260;3740;66.9162695803495;0
2010Q3;94.7633333333333;96.53;94.7630962975608;95.2153543750594;6260;3740;66.9159976329887;0
2010Q4;95.1266666666667;96.6333333333333;95.2263144149247;95.3255821672499;6260;3740;66.922784474674;0
2011Q1;95.78;96.8866666666667;95.8993571282965;95.538380594974;6182;3818;67.8761246401298;0
2011Q2;96.84;97.38;96.5125158506402;96.0247661444412;6182;3818;67.874103825782;0
2011Q3;96.79;97.52;96.7924361369275;96.3321142806393;6182;3818;67.8830732461856;0
2011Q4;97.45;98.12;97.5422226180543;96.8850325466598;6182;3818;67.8804964851411;0
2012Q1;97.9966666666667;98.3266666666667;98.1204398765173;97.2994078450866;6096;3904;65.8599007172015;0
2012Q2;98.7766666666667;98.7866666666667;98.457028010455;97.6586920277427;6096;3904;65.902112326682;0
2012Q3;98.7033333333333;98.8566666666667;98.6969720267275;97.8105609879035;6096;3904;64.3689651243767;0
2012Q4;98.9433333333333;98.8933333333333;99.0302276048836;97.8821583353189;6096;3904;62.7575831216762;0
2013Q1;99.0366666666667;98.96;99.1734037408146;97.9589449478242;6085;3915;67.3330748184405;0
2013Q2;99.5733333333333;99.1733333333333;99.250042126933;98.1058967618214;6085;3915;67.4429829422223;0
2013Q3;99.63;99.41;99.5965809163374;98.2968192312;6085;3915;67.438904088696;0
2013Q4;99.5866666666667;99.5033333333333;99.6898798211771;98.5830572611732;6085;3915;67.4410230668751;0
2014Q1;99.7566666666667;99.4533333333333;99.9216713645946;98.8522043156785;6053;3947;67.5828713491281;0
2014Q2;100.2;99.4833333333333;99.9016716972434;98.8935201302601;6053;3947;67.6108922728046;0
2014Q3;100.026666666667;99.5666666666667;99.9816703666482;99.032598918861;6053;3947;67.6075865160723;0
2014Q4;99.8633333333333;99.42;99.9250046424865;99.0321277917456;6053;3947;67.605896938955;0
2015Q1;99.5166666666667;99.5833333333333;99.77;99.0467491494696;6042;3958;72.2828418408461;0
2015Q2;100.413333333333;99.94;100.116666666667;99.4253129307808;6042;3958;72.2821381204472;0
2015Q3;100.11;100.146666666667;100.02;99.6520856841287;6042;3958;72.2825994895205;0
2015Q4;99.9566666666667;100.22;99.9733333333333;99.8193489791467;6042;3958;72.2817955654506;0
2016Q1;99.4766666666667;100.416666666667;99.8182864900326;99.8303040212792;6075;3925;76.1404721521769;0
2016Q2;100.406666666667;100.616666666667;100.094874517631;100.127947874267;6075;3925;76.1368069980135;0
2016Q3;100.39;100.686666666667;100.25816142549;100.24017044689;6075;3925;76.1394652937855;0
2016Q4;100.456666666667;100.69;100.441442648597;100.288726776341;6075;3925;76.1394652937855;0
