Code_Opale_Publi;IDBANK
TC_D11_DE3;1689192
TC_D11_FZ3;1689193
TC_D11_GZ3;1689194
TC_D11_HZ3;1689195
TC_D11_IZ3;1689196
TC_D11_JZ3;1689197
TC_D11_KZ3;1689198
TC_D11_LZ3;1689199
TC_D11_MN3;1689200
TC_D11_OQ3;1689201
TC_D11_RU3;1689202
TC_D11_D3;1689203
TC_D11_DI3;1689204
TC_D11_DIM3;1689205
TC_D11_DS3;1689206
TC_D11_DSM3;1689207
TC_D11_DSN3;1689208
TC_D11_S11E3;1689209
TC_D11_S12E3;1689210
TC_D11_S13E3;1689211
TC_D11_S14AE3;1689212
TC_EMPNS_DSM1;1689213
TC_EMPNS_DSM7;1689214
TC_EMPNS_DSN1;1689215
TC_EMPNS_DSN7;1689216
TC_EMPNS_S11;1689217
TC_EMPNS_S17;1689218
TC_EMPNS_S14A1;1689219
TC_EMPNS_S14A7;1689220
TC_EMPNS_SMNA1;1689221
TC_EMPNS_SMNA7;1689222
TC_EMPS_AZ1;1689223
TC_EMPS_AZ7;1689224
TC_EMPS_C11;1689225
TC_EMPS_C17;1689226
TC_EMPS_C21;1689227
TC_EMPS_C27;1689228
TC_EMPS_C31;1689229
TC_EMPS_C37;1689230
TC_EMPS_C41;1689231
TC_EMPS_C47;1689232
TC_EMPS_C51;1689233
TC_EMPS_C57;1689234
TC_EMPS_DE1;1689235
TC_EMPS_DE7;1689236
TC_EMPS_FZ1;1689237
TC_EMPS_FZ7;1689238
TD_P51G_C33;1689265
TD_P51G_C37_CH;1689266
TD_P51G_C43;1689267
TD_P51G_C47_CH;1689268
TD_P51G_C53;1689269
TD_P51G_C57_CH;1689270
TD_P51G_FZ3;1689271
TD_P51G_FZ7_CH;1689272
TD_P51G_JZ3;1689273
TD_P51G_JZ7_CH;1689274
TD_P51G_MN3;1689275
TD_P51G_MN7_CH;1689276
TD_P51G_RU3;1689277
TD_P51G_RU7_CH;1689278
TD_P51G_D3;1689279
TD_P51G_D7_CH;1689280
TD_P51G_DB3;1689281
TD_P51G_DB7_CH;1689282
TD_P51G_DI3;1689283
TD_P51G_DI7_CH;1689284
TD_P51G_DIM3;1689285
TD_P51G_DIM7_CH;1689286
TD_P51G_DS3;1689287
TD_P51G_DS7_CH;1689288
TD_P51G_DSM3;1689289
TC_D11_S14AFE3;1689290
TC_D11_S14ANFE3;1689291
TC_D11_S14BE3;1689292
TC_D11_S14R3;1689293
TC_D11_S15E3;1689294
TC_D11_S1AE3;1689295
TC_D11_S2AE3;1689296
TC_D11_S2E3;1689297
TC_D11_S2R3;1689298
TC_D11_SMNA3;1689299
TC_D121_AZ3;1689300
TC_D121_C13;1689301
TC_D121_C23;1689302
TC_D121_C33;1689303
TC_D121_C43;1689304
TC_D121_C53;1689305
TC_D121_DE3;1689306
TC_D121_FZ3;1689307
TC_D121_GZ3;1689308
TC_D121_HZ3;1689309
TC_D121_IZ3;1689310
TC_D121_JZ3;1689311
TC_D121_KZ3;1689312
TC_D121_LZ3;1689313
TC_D121_MN3;1689314
TC_D121_OQ3;1689315
TC_EMPS_GZ1;1689316
TC_EMPS_GZ7;1689317
TC_EMPS_HZ1;1689318
TC_EMPS_HZ7;1689319
TC_EMPS_IZ1;1689320
TC_EMPS_IZ7;1689321
TC_EMPS_JZ1;1689322
TC_EMPS_JZ7;1689323
TC_EMPS_KZ1;1689324
TC_EMPS_KZ7;1689325
TC_EMPS_LZ1;1689326
TC_EMPS_LZ7;1689327
TC_EMPS_MN1;1689328
TC_EMPS_MN7;1689329
TC_EMPS_OQ1;1689330
TC_EMPS_OQ7;1689331
TC_EMPS_RU1;1689332
TC_EMPS_RU7;1689333
TC_EMPS_D1;1689334
TC_EMPS_D7;1689335
TC_EMPS_DI1;1689336
TC_EMPS_DI7;1689337
TC_EMPS_DIM1;1689338
TC_EMPS_DIM7;1689339
TC_EMPS_DS1;1689340
TC_EMPS_DS7;1689341
TC_EMPS_DSM1;1689342
TD_DINTF_D3;1689345
TD_DINTF_D7_CH;1689346
TD_DINTFHS_D3;1689347
TD_DINTFHS_D7_CH;1689348
TD_MEMP_AZ3;1689349
TD_MEMP_AZ7_CH;1689350
TD_MEMP_C13;1689351
TD_MEMP_C17_CH;1689352
TD_MEMP_C23;1689353
TD_MEMP_C27_CH;1689354
TD_MEMP_C33;1689355
TD_MEMP_C37_CH;1689356
TD_MEMP_C43;1689357
TD_MEMP_C47_CH;1689358
TD_MEMP_C53;1689359
TD_MEMP_C57_CH;1689360
TD_MEMP_DE3;1689361
TD_MEMP_DE7_CH;1689362
TD_MEMP_GZ3;1689363
TD_MEMP_GZ7_CH;1689364
TD_MEMP_JZ3;1689365
TD_MEMP_JZ7_CH;1689366
TD_MEMP_DB3;1689367
TD_MEMP_DB7_CH;1689368
TD_MEMP_DI3;1689369
TD_P51G_DSM7_CH;1689370
TD_P51M_FZ3;1689371
TD_P51M_FZ7_CH;1689372
TD_P51M_LZ3;1689373
TD_P51M_LZ7_CH;1689374
TD_P51M_MN3;1689375
TD_P51M_MN7_CH;1689376
TD_P51M_D3;1689377
TD_P51M_D7_CH;1689378
TD_P51M_DS3;1689379
TD_P51M_DS7_CH;1689380
TD_P51M_DSM3;1689381
TD_P51M_DSM7_CH;1689382
TD_P51P_C33;1689383
TD_P51P_C37_CH;1689384
TD_P51P_C43;1689385
TD_P51P_C47_CH;1689386
TD_P51P_C53;1689387
TD_P51P_C57_CH;1689388
TD_P51P_FZ3;1689389
TD_P51P_FZ7_CH;1689390
TD_P51P_JZ3;1689391
TD_P51P_D7_CH;1689392
TD_P51P_JZ7_CH;1689393
TD_P51P_MN3;1689394
TD_P51P_MN7_CH;1689395
TD_P51P_D3;1689396
TC_D121_RU3;1689397
TC_D121_D3;1689398
TC_D121_DI3;1689399
TC_D121_DIM3;1689400
TC_D121_DS3;1689401
TC_D121_DSM3;1689402
TC_D121_DSN3;1689403
TC_D121_S11E3;1689404
TC_D121_S12E3;1689405
TC_D121_S13E3;1689406
TC_D121_S14AE3;1689407
TC_D121_S14AFE3;1689408
TC_D121_S14ANFE3;1689409
TC_D121_S14BE3;1689410
TC_D121_S14R3;1689411
TC_D121_S15E3;1689412
TC_D121_S1AE3;1689413
TC_D121_S2AE3;1689414
TC_D121_S2E3;1689415
TC_D121_S2R3;1689416
TC_D121_SMNA3;1689417
TC_D122_AZ3;1689418
TC_D122_C13;1689419
TC_D122_C23;1689420
TC_D122_C33;1689421
TC_EMPS_DSM7;1689422
